VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,trip_duration_min
1,2019-01-16 21:48:39,2019-01-16 21:48:39,0,5.7,1,N,129,129,2,23.0,0.5,0.5,0.0,0.0,0.3,24.3,,0.0
1,2019-01-16 21:59:30,2019-01-16 21:59:30,2,8.2,1,N,243,243,1,25.0,0.5,0.5,5.25,0.0,0.3,31.55,,0.0
2,2019-01-17 01:45:33,2019-01-17 01:45:33,2,0.01,1,N,264,264,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,0.0
1,2019-01-17 07:14:21,2019-01-17 07:14:21,2,16.8,2,N,132,186,1,69.46,0.0,0.5,0.0,0.0,0.3,70.26,,0.0
1,2019-01-17 08:33:52,2019-01-17 08:33:52,1,2.7,1,N,263,141,2,13.0,0.0,0.5,0.0,0.0,0.3,13.8,,0.0
1,2019-01-17 08:28:28,2019-01-17 08:28:28,1,18.2,2,N,132,230,1,64.2,0.0,0.5,0.0,0.0,0.3,65.0,,0.0
1,2019-01-17 08:21:39,2019-01-17 08:21:39,1,20.8,2,N,132,239,1,67.76,0.0,0.5,0.0,0.0,0.3,68.56,,0.0
2,2019-01-17 13:12:18,2019-01-17 13:12:18,1,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
1,2019-01-17 14:28:02,2019-01-17 14:28:02,1,1.2,1,N,143,143,3,7.0,0.0,0.5,0.0,0.0,0.3,7.8,,0.0
1,2019-01-17 15:17:16,2019-01-17 15:17:16,1,17.5,2,N,68,132,3,67.76,0.0,0.5,0.0,0.0,0.3,68.56,,0.0
1,2019-01-17 17:06:51,2019-01-17 17:06:51,1,0.7,1,N,186,186,2,6.0,1.0,0.5,0.0,0.0,0.3,7.8,,0.0
2,2019-01-17 18:42:41,2019-01-17 18:42:41,1,0.51,1,N,264,264,2,6.0,1.0,0.5,0.0,0.0,0.3,7.8,,0.0
2,2019-01-17 00:00:00,2019-01-17 00:00:00,1,0.53,1,N,231,261,2,5.0,1.0,0.5,0.0,0.0,0.3,6.8,,0.0
1,2019-01-17 19:14:17,2019-01-17 19:14:17,1,0.7,1,N,186,186,1,8.0,1.0,0.5,1.95,0.0,0.3,11.75,,0.0
1,2019-01-17 20:09:04,2019-01-17 20:09:04,1,1.6,1,N,170,170,2,10.5,1.0,0.5,0.0,0.0,0.3,12.3,,0.0
2,2019-01-17 19:46:12,2019-01-17 19:46:12,1,0.09,5,N,113,249,1,65.0,0.0,0.0,13.0,0.0,0.0,78.0,,0.0
1,2019-01-17 21:18:43,2019-01-17 21:18:43,1,21.0,5,N,161,161,2,60.0,0.0,0.0,0.0,5.76,0.3,66.06,,0.0
2,2019-01-17 23:17:59,2019-01-17 23:17:59,1,0.01,2,N,264,264,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,0.0
2,2019-01-18 01:47:00,2019-01-18 01:47:00,1,0.01,1,N,264,264,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,0.0
2,2019-01-18 08:18:31,2019-01-18 08:18:31,1,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
1,2019-01-18 09:26:16,2019-01-18 09:26:16,0,2.3,1,N,229,229,1,18.0,0.0,0.5,7.0,0.0,0.3,25.8,,0.0
2,2019-01-18 10:03:39,2019-01-18 10:03:39,2,0.14,5,N,264,138,1,47.0,0.0,0.0,11.75,0.0,0.0,58.75,,0.0
2,2019-01-18 12:59:42,2019-01-18 12:59:42,4,0.01,2,N,264,264,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,0.0
2,2019-01-18 13:05:14,2019-01-18 13:05:14,1,0.03,5,N,264,237,1,63.0,0.0,0.0,12.6,0.0,0.0,75.6,,0.0
2,2019-01-18 15:16:34,2019-01-18 15:16:34,1,0.03,5,N,264,163,1,67.5,0.0,0.0,13.5,0.0,0.0,81.0,,0.0
1,2019-01-18 17:50:44,2019-01-18 17:50:44,0,0.7,1,N,140,140,1,6.5,1.0,0.5,1.0,0.0,0.3,9.3,,0.0
1,2019-01-18 20:55:52,2019-01-18 20:55:52,1,1.6,1,N,262,262,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,,0.0
1,2019-01-18 20:04:37,2019-01-18 20:04:37,1,1.1,1,N,163,163,2,6.0,1.0,0.5,0.0,0.0,0.3,7.8,,0.0
1,2019-01-19 01:57:54,2019-01-19 01:57:54,1,8.5,1,N,181,181,1,26.5,0.5,0.5,5.55,0.0,0.3,33.35,,0.0
2,2019-01-19 00:00:00,2019-01-19 00:00:00,1,0.88,1,N,234,90,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8,,0.0
1,2019-01-19 12:52:51,2019-01-19 12:52:51,1,4.4,1,N,141,141,1,18.0,0.0,0.5,1.2,0.0,0.3,20.0,,0.0
2,2019-01-19 16:44:22,2019-01-19 16:44:22,1,0.02,1,N,40,40,1,2.5,0.0,0.5,0.82,0.0,0.3,4.12,,0.0
2,2019-01-19 17:04:42,2019-01-19 17:04:42,1,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
2,2019-01-19 18:56:41,2019-01-19 18:56:41,1,0.12,5,N,211,144,1,10.0,0.0,0.0,1.0,0.0,0.0,11.0,,0.0
1,2019-01-19 19:45:28,2019-01-19 19:45:28,1,3.7,1,N,48,48,2,14.5,1.0,0.5,0.0,0.0,0.3,16.3,,0.0
1,2019-01-19 22:22:55,2019-01-19 22:22:55,2,0.4,1,N,41,41,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,,0.0
